Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,65544383,66674851,67327117,67954699,69061674,70182594,71275760,72319418,73318394,74322685,75373855,76342971,77324451,78458928,79961672,81790841,83306231,84505076,85617562,86564202
Iraq,IRQ,"Population, female",SP.POP.TOTL.FE.IN,12383050,12775683,13184691,13588897,13986188,14410735,14521163,14407413,14692161,15226676,15709180,16258743,16993544,17793123,18414828,18907546,19369155,19826367,20301429,20774818
Iraq,IRQ,"Population, male",SP.POP.TOTL.MA.IN,12245808,12649980,13070653,13479925,13872761,14287950,14384444,14253474,14526220,15062364,15555695,16119318,16870903,17688677,18331660,18850267,19328788,19794794,20289270,20788703
Iraq,IRQ,"Population, total",SP.POP.TOTL,24628858,25425663,26255343,27068823,27858948,28698684,28905607,28660887,29218381,30289040,31264875,32378061,33864447,35481800,36746488,37757813,38697943,39621162,40590700,41563520
Ireland,IRL,"Population, female",SP.POP.TOTL.FE.IN,1914541,1945018,1978879,2010956,2044797,2084299,2136262,2199181,2249608,2278484,2295311,2308722,2320880,2334273,2353302,2376011,2401916,2427413,2456754,2490220
Ireland,IRL,"Population, male",SP.POP.TOTL.MA.IN,1890633,1921225,1953068,1985565,2025466,2075615,2137329,2199761,2239936,2256891,2264844,2271361,2278653,2289543,2304438,2325945,2353419,2379975,2410562,2444120
Ireland,IRL,"Population, total",SP.POP.TOTL,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340
Isle of Man,IMN,"Population, female",SP.POP.TOTL.FE.IN,38626,38974,39308,39629,39937,40248,40599,40970,41358,41778,42206,42470,42493,42423,42321,42179,42110,42173,42267,42350
Isle of Man,IMN,"Population, male",SP.POP.TOTL.MA.IN,36936,37423,37876,38310,38739,39166,39629,40130,40639,41136,41621,41880,41844,41721,41575,41414,41340,41407,41508,41583
Isle of Man,IMN,"Population, total",SP.POP.TOTL,75562,76398,77183,77939,78677,79415,80228,81100,81997,82915,83828,84350,84338,84144,83896,83593,83450,83580,83775,83933
Israel,ISR,"Population, female",SP.POP.TOTL.FE.IN,3189721,3264694,3329934,3389251,3448279,3508024,3568903,3631329,3695091,3783259,3850926,3919714,3989651,4061634,4137178,4216926,4297207,4378254,4460839,4544229
Israel,ISR,"Population, male",SP.POP.TOTL.MA.IN,3099279,3174306,3240065,3300450,3360721,3422076,3484797,3548771,3613709,3702341,3772673,3846087,3920849,3997866,4078523,4163174,4248793,4335046,4421961,4509772
Israel,ISR,"Population, total",SP.POP.TOTL,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000
Italy,ITA,"Population, female",SP.POP.TOTL.FE.IN,29391838,29410285,29450615,29571065,29747782,29883545,29972190,30129102,30336005,30481038,30585093,30643856,30716299,31056458,31329027,31278411,31193971,31109769,31012809,30638263
Italy,ITA,"Population, male",SP.POP.TOTL.MA.IN,27550271,27563815,27608392,27742139,27937545,28085940,28171789,28309208,28490726,28614327,28692324,28735593,28823419,29177490,29460113,29452171,29433527,29426940,29408951,29090818
Italy,ITA,"Population, total",SP.POP.TOTL,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,1318802,1324943,1331046,1337278,1343774,1350293,1356781,1362545,1367460,1372774,1378388,1384402,1390918,1397059,1402227,1406816,1410867,1413838,1415821,1417116
Jamaica,JAM,"Population, male",SP.POP.TOTL.MA.IN,1293403,1300463,1307197,1313748,1320251,1326570,1332880,1338676,1343912,1349628,1355508,1361767,1368899,1376070,1382315,1387628,1391829,1394537,1396014,1396657
Jamaica,JAM,"Population, total",SP.POP.TOTL,2612205,2625405,2638244,2651027,2664024,2676863,2689660,2701221,2711373,2722401,2733896,2746169,2759817,2773129,2784543,2794445,2802695,2808376,2811835,2813773
Japan,JPN,"Population, female",SP.POP.TOTL.FE.IN,64716290,64907199,65093948,65270637,65330634,65374871,65451729,65557955,65618491,65637199,65672237,65569426,65480007,65398896,65324683,65267090,65245704,65206949,65140618,65065286
Japan,JPN,"Population, male",SP.POP.TOTL.MA.IN,62126711,62241801,62351052,62447363,62430367,62398129,62402271,62443045,62444510,62409801,62397763,62263573,62148992,62046104,61951317,61873910,61830297,61765051,61670382,61567714
Japan,JPN,"Population, total",SP.POP.TOTL,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000
Jordan,JOR,"Population, female",SP.POP.TOTL.FE.IN,2431055,2487807,2546539,2608615,2677114,2749640,2943988,3138903,3218236,3291871,3367031,3455782,3507157,3725930,4160394,4549538,4778803,4902957,5024293,5143079
Jordan,JOR,"Population, male",SP.POP.TOTL.MA.IN,2625119,2675503,2728993,2787502,2855309,2928895,3131561,3334553,3414636,3488622,3564227,3654198,3704706,3968884,4497632,4944708,5185852,5312425,5435573,5555605
Jordan,JOR,"Population, total",SP.POP.TOTL,5056174,5163310,5275532,5396117,5532423,5678534,6075548,6473457,6632873,6780493,6931258,7109980,7211863,7694814,8658026,9494246,9964656,10215381,10459865,10698683
Kazakhstan,KAZ,"Population, female",SP.POP.TOTL.FE.IN,7797373,7788399,7791988,7820478,7877124,7949338,8035070,8126518,8277191,8438381,8552136,8668254,8784512,8904870,9029051,9154229,9275967,9393051,9508427,9623458
Kazakhstan,KAZ,"Population, male",SP.POP.TOTL.MA.IN,7086252,7069936,7066960,7088542,7135860,7197692,7273015,7357674,7499747,7654441,7769735,7888949,8007578,8130680,8259233,8388576,8518088,8644724,8768025,8890215
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,14883626,14858335,14858948,14909019,15012984,15147029,15308085,15484192,15776938,16092822,16321872,16557202,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673
Kenya,KEN,"Population, female",SP.POP.TOTL.FE.IN,15558445,16030683,16517681,17008340,17517645,18040263,18579218,19133373,19707234,20296096,20875000,21439190,21992229,22533107,23061826,23582948,24114618,24652004,25168522,25679257
Kenya,KEN,"Population, male",SP.POP.TOTL.MA.IN,15293161,15769661,16262141,16758781,17274191,17802747,18346035,18903421,19479661,20068349,20642895,21195954,21733578,22259261,22770037,23268540,23780053,24296132,24784782,25272193
Kenya,KEN,"Population, total",SP.POP.TOTL,30851606,31800343,32779823,33767122,34791836,35843010,36925253,38036793,39186895,40364444,41517895,42635144,43725806,44792368,45831863,46851488,47894670,48948137,49953304,50951450
Kiribati,KIR,"Population, female",SP.POP.TOTL.FE.IN,45145,46058,47053,48026,49015,50037,51046,52031,53046,54099,55156,56161,57103,58026,58943,59874,60836,61819,62820,63851
Kiribati,KIR,"Population, male",SP.POP.TOTL.MA.IN,43680,44473,45346,46275,47209,48127,49037,49967,50920,51896,52840,53709,54514,55285,56042,56833,57677,58544,59441,60390
Kiribati,KIR,"Population, total",SP.POP.TOTL,88826,90531,92400,94302,96224,98164,100083,101998,103966,105996,107995,109871,111618,113311,114985,116707,118513,120362,122261,124241
"Korea, Dem. People's Rep.",PRK,"Population, female",SP.POP.TOTL.FE.IN,11989032,12057001,12115395,12183636,12264788,12338331,12403291,12461285,12515075,12568332,12616337,12658695,12702791,12750473,12801961,12855212,12907056,12956390,13003192,13047566
"Korea, Dem. People's Rep.",PRK,"Population, male",SP.POP.TOTL.MA.IN,11378028,11455522,11523015,11598071,11684142,11762651,11832469,11895221,11953972,12013177,12070099,12125094,12184978,12251346,12324169,12402803,12482556,12559931,12634957,12707874
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,23367059,23512522,23638411,23781707,23948930,24100982,24235761,24356506,24469047,24581509,24686435,24783789,24887770,25001819,25126131,25258015,25389611,25516321,25638149,25755441
"Korea, Rep.",KOR,"Population, female",SP.POP.TOTL.FE.IN,23385302,23577705,23737995,23885395,24005609,24081655,24228799,24368149,24570971,24715248,24852253,25034107,25137200,25224087,25356139,25466609,25566204,25654936,25783018,25889856
"Korea, Rep.",KOR,"Population, male",SP.POP.TOTL.MA.IN,23622809,23792460,23906741,24006936,24076910,24102905,24209494,24315489,24483738,24592587,24701859,24902531,25062652,25204806,25390519,25548338,25651599,25706975,25802041,25874966
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822
Kosovo,XKX,"Population, female",SP.POP.TOTL.FE.IN,827796,829099,830886,833686,836566,839525,848743,858106,867678,877514,887657,896954,905096,910703,908173,896017,890797,897635,900766,896722
Kosovo,XKX,"Population, male",SP.POP.TOTL.MA.IN,872204,872055,871423,869781,868056,866255,870793,875298,879705,883960,888023,894046,902010,907413,904599,892179,886760,893367,896319,892156
Kosovo,XKX,"Population, total",SP.POP.TOTL,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878
Kuwait,KWT,"Population, female",SP.POP.TOTL.FE.IN,802091,822562,842457,861555,879585,915450,978402,1050213,1122360,1194588,1267716,1355253,1456439,1557776,1586002,1569671,1585277,1616950,1661345,1702878
Kuwait,KWT,"Population, male",SP.POP.TOTL.MA.IN,1132811,1169112,1204908,1239951,1273896,1319953,1385007,1456556,1528571,1600963,1675640,1788572,1938224,2088742,2175581,2339072,2462807,2507954,2655840,2738222
Kuwait,KWT,"Population, total",SP.POP.TOTL,1934901,1991674,2047364,2101506,2153481,2235403,2363409,2506769,2650930,2795550,2943356,3143825,3394663,3646518,3761584,3908743,4048085,4124904,4317185,4441100
Kyrgyz Republic,KGZ,"Population, female",SP.POP.TOTL.FE.IN,2512284,2535213,2557844,2584242,2614934,2643705,2671501,2696138,2720818,2752856,2784718,2817552,2863524,2919343,2976832,3036877,3097615,3156721,3218986,3286075
Kyrgyz Republic,KGZ,"Population, male",SP.POP.TOTL.MA.IN,2386115,2409887,2432857,2459059,2489766,2518895,2546899,2572261,2597882,2630443,2663183,2697047,2743677,2800256,2858669,2920023,2981885,3041478,3103815,3170125
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200
Lao PDR,LAO,"Population, female",SP.POP.TOTL.FE.IN,2704952,2749003,2792055,2833564,2873441,2915416,2960629,3006220,3051630,3096726,3141557,3186018,3230068,3273809,3317084,3364007,3415910,3469110,3522442,3575847
Lao PDR,LAO,"Population, male",SP.POP.TOTL.MA.IN,2725901,2770704,2814046,2855501,2894726,2937553,2985964,3035128,3084231,3133204,3181861,3230309,3278735,3326932,3374369,3423412,3475453,3528807,3582564,3636206
Lao PDR,LAO,"Population, total",SP.POP.TOTL,5430853,5519707,5606101,5689065,5768167,5852970,5946593,6041348,6135861,6229930,6323418,6416327,6508803,6600742,6691454,6787419,6891363,6997917,7105006,7212053
Latvia,LVA,"Population, female",SP.POP.TOTL.FE.IN,1286989,1271110,1257073,1245312,1231924,1219037,1208273,1198558,1185974,1166323,1141877,1120785,1106189,1093236,1081749,1071516,1060135,1049155,1039395,1030582
